Clave de la entidad federativa,Entidad federativa,Clave del municipio,Municipio,Social.lag.index.2005,Level.Social.Lag.2005,Poverty.Pct.2010,Extreme.Poverty.Pct.2010,Moderate.Poverty.Pct.2010,Vulnerables.SocialCare.Pct.2010,Educ.Lag.Pct.2010,Lack.Access.To.HealthServices.Pct.2010
20,Oaxaca,20309,San Pedro IxcatlÌÁn,1.61087,High,90.48,66.59,23.89,8.21,47.23,59.96
20,Oaxaca,20310,San Pedro Ixtlahuaca,0.22773,Medium,69.81,22.82,46.99,25.5,27,41.62
20,Oaxaca,20311,San Pedro Jaltepetongo,1.65331,High,87.54,31.22,56.33,12,43.64,11.36
20,Oaxaca,20312,San Pedro JicayÌÁn,1.44095,High,85.72,47.85,37.87,14,31.11,56.6
20,Oaxaca,20313,San Pedro Jocotipac,0.91082,High,92.29,46.75,45.54,7.46,45.32,25.22
20,Oaxaca,20314,San Pedro Juchatengo,0.49744,Medium,77.43,30.53,46.89,18.64,38.22,79.87
20,Oaxaca,20315,San Pedro MÌÁrtir,1.45949,High,88.24,58.02,30.22,11.76,42.53,40.48
20,Oaxaca,20316,San Pedro MÌÁrtir Quiechapa,0.40654,Medium,96.92,71.58,25.34,3.08,30.12,56.99
20,Oaxaca,20317,San Pedro MÌÁrtir Yucuxaco,0.84519,High,93.22,64.91,28.31,6.11,29.75,80.92
20,Oaxaca,20318,San Pedro Mixtepec - Dto. 22 -,-0.29162,Low,61.18,13.76,47.41,29.6,29.41,23.29
20,Oaxaca,20319,San Pedro Mixtepec - Dto. 26 -,1.0705,High,98.06,81.45,16.61,1.37,36.02,88.6
20,Oaxaca,20320,San Pedro Molinos,0.69199,High,90.8,54.12,36.68,7.79,31.76,40.88
20,Oaxaca,20321,San Pedro Nopala,0.69517,High,93.94,55.09,38.86,5.92,35.68,14.86
20,Oaxaca,20322,San Pedro Ocopetatillo,1.94488,Very High,92.1,50.49,41.61,6.63,55.81,10.62
20,Oaxaca,20323,San Pedro Ocotepec,1.46091,High,96.69,69.82,26.87,3.31,38.73,30.84
20,Oaxaca,20324,San Pedro Pochutla,0.49419,Medium,57.34,17.05,40.29,36.52,33.07,26.96
20,Oaxaca,20325,San Pedro Quiatoni,1.83539,High,89.61,47.33,42.27,10.28,46.9,56.98
20,Oaxaca,20326,San Pedro SochiÌÁpam,1.73362,High,97.27,76.91,20.35,2.63,42.12,62.29
20,Oaxaca,20327,San Pedro Tapanatepec,0.12228,Medium,66.08,21.32,44.76,27.99,35.57,25.02
20,Oaxaca,20328,San Pedro Taviche,1.36874,High,97.3,65.86,31.44,2.7,46.37,18.55
20,Oaxaca,20329,San Pedro Teozacoalco,0.73707,High,96.13,57.6,38.53,3.24,34.13,66.35
20,Oaxaca,20330,San Pedro Teutila,1.11209,High,91.89,51.28,40.61,7.57,42,35.31
20,Oaxaca,20331,San Pedro TidaÌÁ,0.45037,Medium,93.8,70.07,23.73,5.38,44.91,85.26
20,Oaxaca,20332,San Pedro Topiltepec,0.43011,Medium,83.74,28.07,55.68,13.13,34.38,42.97
20,Oaxaca,20333,San Pedro Totolapa,-0.26359,Low,76.8,35.86,40.94,19.12,32.81,85.61
20,Oaxaca,20334,Villa de Tututepec de Melchor Ocam,0.61646,High,76.38,33.55,42.83,22.31,41.27,48.8
20,Oaxaca,20335,San Pedro Yaneri,1.39609,High,94.94,62.66,32.28,4.52,41.14,46.33
20,Oaxaca,20336,San Pedro YÌ_lox,0.34633,Medium,84.28,35.28,48.99,15.22,39.91,30.98
20,Oaxaca,20337,San Pedro y San Pablo Ayutla,1.77722,High,85.67,53.4,32.27,11.35,47.97,52.68
20,Oaxaca,20338,Villa de Etla,-0.73013,Very Low,43.61,10.2,33.42,26.32,16.64,43.38
20,Oaxaca,20339,San Pedro y San Pablo Teposcolula,-0.35667,Low,69.69,24.21,45.49,18.8,22.05,51.15
20,Oaxaca,20340,San Pedro y San Pablo Tequixtepec,0.1408,Medium,80.95,27.51,53.44,11.42,36.57,25.41
